canonical_smiles,document_year,molecule_chembl_id,molecule_pref_name,pchembl_value,standard_type,standard_units,standard_value,type,units,value,target_name,target_id,pIC50,potency_class
Cn1cnc(Cn2c(=O)[nH]/c(=N\c3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,2022,CHEMBL5183847,ENSITRELVIR,10.89,IC50,nM,0.013,IC50,nM,0.013000000000000001,RdRp (nsp12),CHEMBL4523582,10.886056647693163,High (<100 nM)
O=C(NCc1ccco1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,2022,CHEMBL5192350,,9.46,IC50,nM,0.35,IC50,nM,0.35,RdRp (nsp12),CHEMBL4523582,9.455931955649724,High (<100 nM)
O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cccnc2)CCN1c1ccc(Cl)c(Cl)c1,2022,CHEMBL5174111,,9.4,IC50,nM,0.4,IC50,nM,0.4,RdRp (nsp12),CHEMBL4523582,9.397940008672037,High (<100 nM)
O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,2022,CHEMBL5204987,,9.4,IC50,nM,0.4,IC50,nM,0.4,RdRp (nsp12),CHEMBL4523582,9.397940008672037,High (<100 nM)
O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,2022,CHEMBL5188908,,9.36,IC50,nM,0.44,IC50,nM,0.44,RdRp (nsp12),CHEMBL4523582,9.356547323513812,High (<100 nM)
O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cncc3ccccc23)CCN1c1ccc(Cl)c(Cl)c1,2022,CHEMBL5188502,,9.36,IC50,nM,0.44,IC50,nM,0.44,RdRp (nsp12),CHEMBL4523582,9.356547323513812,High (<100 nM)
O=C(NCc1ccco1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,2022,CHEMBL5188982,,9.32,IC50,nM,0.48,IC50,nM,0.48,RdRp (nsp12),CHEMBL4523582,9.318758762624412,High (<100 nM)
O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,2022,CHEMBL5181886,,9.23,IC50,nM,0.59,IC50,nM,0.59,RdRp (nsp12),CHEMBL4523582,9.229147988357855,High (<100 nM)
O=C(NCc1cccs1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,2022,CHEMBL5172248,,9.21,IC50,nM,0.61,IC50,nM,0.61,RdRp (nsp12),CHEMBL4523582,9.214670164989233,High (<100 nM)
O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,2022,CHEMBL5201620,,9.1,IC50,nM,0.79,IC50,nM,0.79,RdRp (nsp12),CHEMBL4523582,9.102372908709558,High (<100 nM)
O=C(NCc1ccco1)[C@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,2022,CHEMBL5180494,,8.53,IC50,nM,2.98,IC50,nM,2.98,RdRp (nsp12),CHEMBL4523582,8.525783735923746,High (<100 nM)
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)CO)cc12,2022,CHEMBL4777223,PF-00835231,8.3,IC50,nM,5.0,IC50,nM,5.0,RdRp (nsp12),CHEMBL4523582,8.301029995663981,High (<100 nM)
O=C(c1cc(=O)[nH]c(=O)[nH]1)N1CCN(c2ccc(Cl)c(Cl)c2)CC1,2022,CHEMBL5082224,,8.29,IC50,nM,5.1,IC50,nM,5.1,RdRp (nsp12),CHEMBL4523582,8.292429823902063,High (<100 nM)
O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1.O=C(O)C(F)(F)F,2022,CHEMBL5208946,,8.1,IC50,nM,8.0,IC50,nM,8.0,RdRp (nsp12),CHEMBL4523582,8.096910013008056,High (<100 nM)
C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,2021,CHEMBL4852855,,8.05,IC50,nM,9.0,IC50,uM,0.009000000000000001,RdRp (nsp12),CHEMBL4523582,8.045757490560675,High (<100 nM)
,2020,CHEMBL508338,THIMEROSAL,8.0,IC50,nM,10.0,IC50,uM,0.01,RdRp (nsp12),CHEMBL4523582,8.0,High (<100 nM)
COC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)OC)C(=O)CF)C(C)C,2020,CHEMBL3963349,,8.0,IC50,nM,10.0,IC50,uM,0.01,RdRp (nsp12),CHEMBL4523582,8.0,High (<100 nM)
,2020,CHEMBL1333953,PHENYLMERCURIC ACETATE,8.0,IC50,nM,10.0,IC50,uM,0.01,RdRp (nsp12),CHEMBL4523582,8.0,High (<100 nM)
CC1(C)[C@@H]2[C@@H](C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O)N(C(=O)C3(c4cccc(Cl)c4)CC3)C[C@@H]21,2024,CHEMBL5565685,,7.85,IC50,nM,14.0,IC50,nM,14.0,Main Protease (3CLpro),CHEMBL3927,7.853871964321762,High (<100 nM)
